CD,Cluster,Party,Very low density,Low density,Medium density,High density,Incumbent,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban,Low-density suburban,High-density suburban,Urban-suburban,Pure urban
CO-03,Pure rural,R,0.5093056254947357,0.25442216613316826,0.20245546527764885,0.03381674309444718,"Tipton, Scott",0.4,0.52,0.45799999999999996,0.518,0.484,0.499,0.545988765817286,0.403473453161051,0.0505377810216636,6,Likely R,2,1,0.3875,1,0.5967832654541854,0.29403886378093214,0.04914426380196427,0.02979761085782325,0.020692166498430947,0.00954382960666402
CO-04,Rural-suburban,R,0.3565299900889553,0.3105572692704778,0.27683534095097556,0.05607739968959138,"Buck, Ken",0.34299999999999997,0.574,0.392,0.585,0.419,0.564,0.63545253241517,0.31651541720532,0.048032050379510256,13,Solid R,3,0,0.0287,0,0.070702608907863,0.7972373287907962,0.07723056781659636,0.03177753274771529,0.01684327391985914,0.006208687817169966
CO-05,High-density suburban,R,0.2074757629217238,0.20468799660967132,0.47148792325334016,0.11634831721526474,"Lamborn, Doug",0.332,0.5720000000000001,0.38299999999999995,0.591,0.397,0.588,0.622580181931657,0.308400117090198,0.06901970097814496,14,Solid R,3,0,0.0206,0,0.05742279111280578,0.13864970504095916,0.2528985395484086,0.4498251155935021,0.08106080342191192,0.020143045282412446
CO-06,High-density suburban,R,0.04156956624844765,0.12311851822591727,0.47397126144550006,0.3613406540801351,"Coffman, Mike",0.502,0.413,0.516,0.465,0.536,0.449,0.509079026717709,0.426048770379659,0.064872202902632,-2,Tossup,0,1,0.8173,1,0.02328382316012429,0.04035253956903789,0.07302591870384598,0.4818602379513428,0.351841135073616,0.02963634554203326
CO-07,High-density suburban,D,0.014578220181563708,0.16935647368286658,0.5489377305440845,0.26712757559148537,"Perlmutter, Ed",0.514,0.39399999999999996,0.561,0.413,0.574,0.40700000000000003,0.397961382282257,0.551802436396785,0.050236181320958,-6,Solid D,-3,0,0.9983,0,0.008819629988412934,0.01636682976516372,0.037258755670685845,0.877266254256536,0.05201463249874033,0.008273897820461068
CT-01,Low-density suburban,D,0.04594322395433403,0.4655968666198179,0.29685139809178795,0.19160851133406007,"Larson, John",0.594,0.363,0.633,0.35600000000000004,0.6579999999999999,0.32899999999999996,0.337697531357354,0.59765439002956,0.06464807861308616,-12,Solid D,-3,0,0.9998,0,0.03928423919915007,0.10945629130935328,0.6267414616506936,0.134831152832025,0.06924746504243415,0.02043938996634407
CT-02,Rural-suburban,D,0.2926711263149184,0.5424770888507882,0.13576965830941515,0.029082126524878307,"Courtney, Joe",0.48700000000000004,0.45799999999999996,0.5589999999999999,0.426,0.586,0.4,0.336553048080737,0.563833620483442,0.09961333143582113,-3,Solid D,-3,0,0.9997,0,0.14338764173500337,0.5206548651087443,0.21409325390436845,0.06144483314308693,0.04121584071899214,0.01920356538980475
CT-03,Low-density suburban,D,0.012366092299609863,0.3908504018386576,0.3650397013561031,0.2317438045056295,"DeLauro, Rosa",0.5589999999999999,0.40399999999999997,0.626,0.363,0.626,0.36200000000000004,0.309607310127707,0.621483681827144,0.0689090080451485,-9,Solid D,-3,0,0.9999,0,0.03558847792089063,0.08811385142483039,0.45861769863163815,0.28544646595096834,0.1079740703109583,0.024259435760714244
CT-04,Low-density suburban,D,0.025013488141524775,0.3959696367464602,0.25697485947637566,0.3220420156356394,"Himes, Jim",0.596,0.366,0.551,0.44,0.596,0.397,0.384808955795114,0.599001722268291,0.016189321936595048,-7,Solid D,-3,0,0.9992,0,0.05736496607150519,0.12846971822029224,0.3188224436225577,0.22907016821727458,0.21615761944520598,0.0501150844231644
CT-05,Low-density suburban,D,0.10371351525184146,0.5006539980323996,0.2563120916762163,0.13932039503954266,"Esty, Elizabeth",0.499,0.45799999999999996,0.535,0.45299999999999996,0.564,0.424,0.404099882878977,0.528982600086708,0.06691751703431448,-2,Solid D,-3,0,0.9778,0,0.0455454048401981,0.1487735850469751,0.6509425309068974,0.08909736834061295,0.04880858672764566,0.016832524137670765
DE-AL,Low-density suburban,D,0.18180582970915646,0.4699650688192405,0.25197096379032735,0.09625813768127571,"Blunt Rochester, Lisa",0.534,0.419,0.586,0.4,0.619,0.369,0.409616298972994,0.555234880182579,0.03514882084442751,-6,Solid D,-3,0,0.997,0,0.05160906847203577,0.24244976208767588,0.5897230439440012,0.06796995333125805,0.03558591439747275,0.012662257767556289
FL-01,Rural-suburban,R,0.24770126435657897,0.5179305224254542,0.2290299039875847,0.005338309230382103,"Gaetz, Matt",0.282,0.675,0.301,0.685,0.32,0.6679999999999999,0.690998575243915,0.309001424756085,0,22,Solid R,3,0,1e-4,0,0.09227226352050431,0.4616564616958615,0.33240681358591884,0.06359686157006668,0.03531427259179144,0.01475332703585724
FL-02,Rural-suburban,R,0.45405628239776913,0.33119323723169536,0.15882980466359506,0.05592067570694036,"Dunn, Neal",0.306,0.662,0.34,0.6459999999999999,0.35200000000000004,0.634,0.673234079484626,0.299395390287801,0.027370530227573246,18,Solid R,3,0,4e-4,0,0.32961220175360767,0.574840276437547,0.0476062994895333,0.02355646855455627,0.01673020768084075,0.007654546083914944
FL-03,Pure rural,R,0.5371385747339257,0.30021638974623543,0.1294520331233011,0.0331930023965378,"Yoho, Ted",0.402,0.562,0.419,0.5660000000000001,0.442,0.546,0.565634665888532,0.397834840968777,0.0365304931426904,9,Solid R,3,0,0.0135,0,0.8994286378081244,0.07249053374081048,0.01254785005467325,0.007255061685784577,0.005498030490694775,0.0027798862199125743
FL-04,Low-density suburban,R,0.15576120359232992,0.3518236468440935,0.4584905287247771,0.03392462083879951,"Rutherford, John",0.341,0.621,0.32799999999999996,0.6609999999999999,0.348,0.642,0.701820037006117,0.276051964790486,0.022127998203396948,17,Solid R,3,0,1e-4,0,0.034986349585784685,0.1083996530316182,0.6537757972926304,0.1564566257334098,0.035685919299961226,0.010695655056595896
FL-05,Low-density suburban,D,0.06832714533187378,0.33411469709341973,0.49636499614203367,0.10119316143267283,"Lawson, Al",0.613,0.359,0.636,0.354,0.632,0.359,0.357656979470011,0.642343020529989,0,-12,Solid D,-3,0,1,0,0.02831382852617705,0.07166188487521291,0.44289472642436967,0.3920813276057796,0.05172049907809849,0.013327733490362191
FL-06,Low-density suburban,Vacant,0.19034402093147582,0.5300910945626476,0.2717095869832598,0.007855297522616805,"DeSantis, Ron",0.39899999999999997,0.569,0.466,0.522,0.501,0.48700000000000004,0.5856735332035,0.4143264667965,0,7,Likely R,2,1,0.2658,1,0.0681766011921549,0.27811886951713516,0.5303252783149872,0.07229221302382363,0.03653337248243521,0.014553665469463795
FL-07,Low-density suburban,D,0.048507655566485876,0.3816375541999179,0.543807093560206,0.02604769667339024,"Murphy, Stephanie",0.514,0.441,0.494,0.494,0.511,0.48,0.485170575843689,0.51473611287837,9.33112779403656e-5,0,Likely D,-2,1,0.9416,0,0.041224419555346344,0.09816508299721553,0.4928091644671307,0.29035692769926824,0.05929833073927401,0.018146074541765204
FL-08,Low-density suburban,R,0.12060512031953315,0.5508619686307725,0.3169608558421052,0.011572055207589148,"Posey, Bill",0.377,0.584,0.42100000000000004,0.5660000000000001,0.43799999999999994,0.5489999999999999,0.631099879404242,0.325498449665993,0.0434016709297651,11,Solid R,3,0,0.0144,0,0.04841164492177946,0.15611551829259984,0.6679186826824558,0.07756005157232984,0.03607203976438553,0.013922062766449476
FL-09,Low-density suburban,D,0.10045926714982233,0.45229071205320426,0.394238449543623,0.05301157125335042,"Soto, Darren",0.5479999999999999,0.419,0.556,0.434,0.546,0.445,0.425151797881452,0.574848202118548,0,-5,Solid D,-3,0,0.9986,0,0.007445303077409539,0.024079170919113727,0.9333473674697682,0.02463388992781878,0.007947379914412103,0.002546888691477731
FL-10,Low-density suburban,D,0.14305965962591718,0.5829825815074365,0.21074796997505651,0.06320978889158979,"Demings, Val",0.618,0.349,0.607,0.384,0.609,0.385,0.351313282503619,0.648686717496381,0,-11,Solid D,-3,0,1,0,0.08373864937512486,0.261245539752912,0.48306516517977494,0.09288509632138804,0.05569516434078597,0.023370385030014224
FL-11,Rural-suburban,R,0.264831932685828,0.5294363158564233,0.20573175145774866,0,"Webster, Dan",0.325,0.648,0.39799999999999996,0.5920000000000001,0.426,0.561,0.653670079220914,0.315953881115426,0.0303760396636595,15,Solid R,3,0,8e-4,0,0.10702163367152939,0.4994461593090142,0.27948247263611836,0.0620494778954162,0.036264150102816965,0.015736106385104844
FL-12,Low-density suburban,R,0.047631850915602174,0.502126194745031,0.4164365826828093,0.03380537165655758,"Bilirakis, Gus",0.38799999999999996,0.574,0.455,0.53,0.474,0.512,0.685908204366609,0.314091795633391,0,8,Solid R,3,0,0.0072,0,0.028404261750124685,0.0783235653133928,0.7560603647307009,0.09344671304697316,0.03261541338016458,0.011149681778643875
FL-13,High-density suburban,D,0,0.08195243289182585,0.7036242752250546,0.21442329188311954,"Crist, Charlie",0.496,0.46399999999999997,0.546,0.439,0.555,0.43,0.480969081783488,0.519030918216512,0,-2,Solid D,-3,0,0.9982,0,0.04083690798527995,0.06648289466564386,0.1229196599380682,0.584757983188556,0.14776538057930275,0.03723717364314941
FL-14,High-density suburban,D,0.011885598023758015,0.166410704106716,0.5625891676236544,0.25911453024587155,"Castor, Kathy",0.5720000000000001,0.39,0.5760000000000001,0.41200000000000003,0.581,0.409,0.382129343562329,0.617870656437671,0,-7,Solid D,-3,0,1,0,0.009889890850636796,0.018235075987470296,0.041371954681609785,0.8669052611036746,0.05445002246405045,0.009147794912558039
FL-15,Low-density suburban,R,0.04956133767611402,0.4499040714580061,0.47165331857073506,0.028881272295144898,"Ross, Dennis",0.431,0.531,0.466,0.522,0.467,0.521,0.57461205624321,0.42538794375679,0,6,Lean R,1,0,0.3341,1,0.03024458145320737,0.07994360526732637,0.7005042433723963,0.13883011523724176,0.03817811155105783,0.012299343118770347
FL-16,Low-density suburban,R,0.04203327507117999,0.45616984716787834,0.44849077934290094,0.05330609841804077,"Buchanan, Vern",0.43,0.537,0.451,0.537,0.47700000000000004,0.512,0.597679287720644,0.402320712279356,0,7,Lean R,1,0,0.1506,0,0.02466380715267974,0.06650703387284394,0.7494667820091444,0.11586709518115079,0.0330567385363689,0.010438543247812347
FL-17,Rural-suburban,R,0.30593245926285717,0.5684575954347363,0.12560994530240657,0,"Rooney, Tom",0.35,0.622,0.413,0.5760000000000001,0.439,0.547,0.618138333210305,0.342434487340371,0.0394271794493246,13,Solid R,3,0,0.0024,0,0.1652489786393528,0.4916932842028906,0.2126917852846346,0.06512327579538772,0.0439421660895522,0.021300509988182063
FL-18,Low-density suburban,R,0.08115479626728689,0.4229525344961677,0.47831712083331285,0.017575548403232586,"Mast, Brian",0.441,0.5329999999999999,0.47700000000000004,0.514,0.512,0.479,0.535989231694146,0.430726913848233,0.033283854457621075,5,Lean R,1,0,0.1202,0,0.03042350178637625,0.0831118031678814,0.7008103458622933,0.13884919089347483,0.035494610268533136,0.011310548021440893
FL-19,Low-density suburban,R,0.052932084014077604,0.5461209367366403,0.37276887269251335,0.028178106556768806,"Rooney, Francis",0.375,0.596,0.387,0.605,0.423,0.568,0.658720805361735,0.340923985174824,3.552094634409604e-4,13,Solid R,3,0,0.0153,0,0.0380853572805154,0.10591374609231921,0.7094548406612419,0.0934762890346798,0.038846139290853024,0.014223627640390675
FL-20,Urban-suburban,D,0.051275742399178835,0.08109345802109384,0.47876438789479114,0.38886641168493613,"Hastings, Alcee",0.802,0.18100000000000002,0.825,0.171,0.809,0.18600000000000003,0.196879953883845,0.803120046116155,0,-31,Solid D,-3,0,1,0,0.02628496588538644,0.04301479305664406,0.07034877868742968,0.3566165702772566,0.46603531474732646,0.0376995773459567
FL-21,High-density suburban,D,0.008764257890690887,0.14665980173396478,0.5768421718480655,0.26773376852727876,"Frankel, Lois",0.586,0.391,0.604,0.389,0.634,0.359,0.351448962517232,0.627062981411953,0.021488056070815,-9,Solid D,-3,0,1,0,0.014614629093663779,0.02617742172022492,0.05610197837100908,0.8056901991062416,0.083261625086916,0.014154146621944622
FL-22,High-density suburban,D,0.0031505144520819653,0.047408128836795405,0.5819925175268059,0.36744883918431676,"Deutch, Ted",0.568,0.41,0.563,0.43,0.583,0.41,0.410646736717478,0.589353263282522,0,-6,Solid D,-3,0,0.9992,0,0.03357857729821934,0.05304388465171679,0.08948182132171859,0.4688553727209098,0.30789458025504324,0.047145763752392114
FL-23,Urban-suburban,D,8.647630121424157e-5,0.13749557048792893,0.40207082204228706,0.46034713116856973,"Wasserman Schultz, Debbie",0.619,0.358,0.614,0.38,0.62,0.373,0.404858875959396,0.567049393414211,0.0280917306263927,-11,Solid D,-3,0,0.9995,0,0.008563716300494904,0.0140318166834712,0.023328014259337147,0.07348343612946193,0.862543577045347,0.018049439581887785
FL-24,Urban-suburban,D,0.0018305910433756725,0.0423501459913232,0.42215965557834517,0.533659607386956,"Wilson, Frederica",0.8290000000000001,0.154,0.857,0.139,0.84,0.156,0,0,0,-34,Solid D,-3,0,1,0,0.014067026822236454,0.02067049666527933,0.02976984821660959,0.08078850354724061,0.8113639491853789,0.04334017556325519
FL-25,Urban-suburban,R,0.09349835988575025,0.1843672181272744,0.26029800749694676,0.4618364144900285,"Diaz-Balart, Mario",0.479,0.49700000000000005,0.449,0.545,0.406,0.588,0.623602116569262,0.376397883430738,0,4,Likely R,2,1,0.2858,1,0.02667730975984172,0.04406931786437759,0.05985056125449942,0.10354018627473789,0.7166740754805431,0.04918854936600021
FL-26,Urban-suburban,R,0.07611839849160014,0.17734452425870473,0.3927958929304996,0.3537411843191956,"Curbelo, Carlos",0.568,0.405,0.5539999999999999,0.439,0.515,0.479,0.529500039209815,0.411678108803673,0.0588218519865118,-6,Lean R,1,0,0.4618,1,0.027458229658885218,0.05159337112752577,0.09461044424194753,0.3892258053276818,0.4067337931172628,0.0303783565266969
FL-27,Urban-suburban,R,0.008607372532453621,0.080661674818654,0.36162573851940033,0.5491052141294921,"Ros-Lehtinen, Ileana",0.585,0.389,0.53,0.46299999999999997,0.501,0.493,0.548938566517309,0.451061433482691,0,-5,Lean D,-1,0,0.8501,1,0.004981839966616429,0.007381288152253849,0.01045868542697709,0.024677931772496747,0.9348292353038736,0.01767101937778224
GA-01,Rural-suburban,R,0.4280775706664675,0.3971933530968808,0.1442118093506365,0.0305172668860151,"Carter, Buddy",0.409,0.564,0.43,0.5589999999999999,0.444,0.55,0.995883701542309,0,0.0041162984576907,9,Solid R,3,0,0.0021,0,0.19418452025361346,0.7138523657960144,0.049733914302814757,0.020928309852167405,0.01451950372938905,0.006781386066000812
GA-02,Rural-suburban,D,0.4824228304917487,0.31470960423730815,0.20151486145176056,0.0013527038191825376,"Bishop, Sanford",0.55,0.433,0.586,0.408,0.579,0.41600000000000004,0.387701515669891,0.612298484330109,0,-6,Solid D,-3,0,0.9992,0,0.4271209641001572,0.4724502387315569,0.05004864462187846,0.025712448578372696,0.016905422843624743,0.007762281124409987
GA-03,Rural-suburban,R,0.3892822563314031,0.5498076031971308,0.05984045078079258,0.0010696896906733514,"Ferguson, Drew",0.32799999999999996,0.643,0.33,0.659,0.34,0.653,0.683465979741876,0.316534020258125,0,18,Solid R,3,0,1e-4,0,0.25912625799635647,0.4718961812225747,0.14674759649285588,0.057260849813461044,0.042533015149329105,0.022436099325422995
GA-04,Low-density suburban,D,0.030850656482273784,0.48560100074430224,0.4212830512829708,0.06226529149045324,"Johnson, Hank",0.753,0.222,0.736,0.256,0.732,0.263,0.24280540278394,0.75719459721606,0,-24,Solid D,-3,0,1,0,0.02562946053363113,0.06924099619400834,0.7567623898716704,0.10325907591389229,0.03403194657229904,0.011076130914498742
GA-05,High-density suburban,D,0.003408143069852473,0.22582427838462413,0.5490514913026844,0.22171608724283892,"Lewis, John",0.85,0.11900000000000001,0.831,0.158,0.8440000000000001,0.15,0.155608569650872,0.844391430349128,0,-34,Solid D,-3,0,1,0,0.005929958241239592,0.011765401905815652,0.03298873576875435,0.9188978621639874,0.025622077841488945,0.004795964078714285
GA-06,High-density suburban,R,0,0.24802553339175512,0.6486931517421584,0.10328131486608655,"Handel, Karen",0.46799999999999997,0.483,0.375,0.608,0.401,0.59,0.616824895323691,0.383175104676309,0,8,Lean R,1,0,0.1374,0,0.03467011906774357,0.06673952446962925,0.1807312301045767,0.6131868268049614,0.08239991886258127,0.022272380690507947
GA-07,Low-density suburban,R,0,0.6355736287405154,0.34812934358992265,0.01629702766956194,"Woodall, Rob",0.44799999999999995,0.511,0.38299999999999995,0.602,0.391,0.601,0.603816844201026,0.396183155798974,0,9,Likely R,2,1,0.3161,1,0.06686205729202568,0.15845978553022202,0.5410987090830651,0.1367275509368011,0.06863218268768402,0.028219714470202113
GA-08,Pure rural,R,0.5536236839289838,0.34173506609687265,0.10464124997414366,0,"Scott, Austin",0.344,0.633,0.375,0.616,0.37799999999999995,0.616,0.676429193493204,0.323570806506796,0,15,Solid R,3,0,0,0,0.9070531912468968,0.06567326058150184,0.012422078694487962,0.006881340096028802,0.005216334219946219,0.00275379516113836
GA-09,Pure rural,R,0.6050571760649693,0.3854373852147294,0.009505438720301244,0,"Collins, Doug",0.193,0.778,0.205,0.7809999999999999,0.243,0.747,1,0,0,31,Solid R,3,0,0,0,0.7729216760270217,0.13756196859546665,0.03826887057333324,0.02211670668196957,0.018305291750294845,0.010825486371913972
GA-10,Pure rural,R,0.49316974095493543,0.4439136972224461,0.06291656182261857,0,"Hice, Jodi",0.358,0.613,0.363,0.625,0.38799999999999996,0.604,0.996377922497353,0,0.00362207750264706,15,Solid R,3,0,2e-4,0,0.501342893053665,0.35529935831342796,0.07062136073270305,0.03348709799184284,0.02555132987698028,0.013697960031380947
GA-11,Low-density suburban,R,0.12214493624957266,0.5158703080941186,0.31689199284464503,0.045092762811663606,"Loudermilk, Barry",0.353,0.603,0.315,0.669,0.34700000000000003,0.643,0.674057738820604,0.325942261179396,0,17,Solid R,3,0,5e-4,0,0.030981427931860324,0.10810122909799279,0.7695026718108772,0.05685977685911413,0.025357670388425846,0.009197223911729887
GA-12,Pure rural,R,0.5297614753330299,0.3234751261918965,0.14676339847507375,0,"Allen, Rick",0.40700000000000003,0.569,0.436,0.5539999999999999,0.439,0.556,0.616008527994068,0.383991472005933,0,9,Solid R,3,0,0.0153,0,0.8172344844240312,0.13721607615506476,0.021332650753349173,0.01163709890989029,0.008386904148195913,0.004192785609468474
GA-13,Low-density suburban,D,0.033993345610636876,0.7030958697727215,0.2573617740613719,0.005549010555269742,"Scott, David",0.71,0.266,0.6920000000000001,0.3,0.6709999999999999,0.32299999999999995,0,1,0,-20,Solid D,-3,0,1,0,0.09406462955266848,0.21098584164276768,0.4500934335600055,0.13085921393732275,0.07806381498760942,0.03593306631962609
GA-14,Rural-suburban,R,0.4301605237075439,0.55711779995845,0.012721676334006091,0,"Graves, Tom",0.221,0.75,0.253,0.732,0.278,0.71,0.999032048416016,0,9.67951583983628e-4,27,Solid R,3,0,0,0,0.32519373773778815,0.4066152131350224,0.13621755273458566,0.05936582188851099,0.0465168171512768,0.026090857352815956
HI-01,Urban-suburban,D,0.013544256926596422,0.1394626879158561,0.3172575811242712,0.5297354740332763,"Hanabusa, Colleen",0.631,0.305,0.6970000000000001,0.29,0.703,0.28300000000000003,0.227113467782187,0.718616109153624,0.0542704230641885,-17,Solid D,-3,0,0.9999,0,0.002480942791507722,0.00383282020059012,0.005571741769728264,0.011851747415976693,0.9683552145944219,0.00790753322777556
HI-02,Rural-suburban,D,0.3766244932403611,0.276290882780123,0.23984815853510952,0.10723646544440643,"Gabbard, Tulsi",0.614,0.29600000000000004,0.7140000000000001,0.267,0.7340000000000001,0.249,0.188432233179426,0.811567766820574,0,-19,Solid D,-3,0,1,0,0.13807216220502677,0.6760498670030328,0.09432545066712368,0.049332690554253864,0.03079836620665812,0.011421463363904842
IA-01,Rural-suburban,R,0.40831488928374743,0.35269049326142754,0.2187204505543606,0.020274166900464477,"Blum, Rod",0.452,0.48700000000000004,0.562,0.425,0.585,0.40399999999999997,0.53744249656473,0.460814542167454,0.001742961267816,-1,Tossup,0,1,0.9724,1,0.048475736036180245,0.9151534915747349,0.02056889268707567,0.008458538322929131,0.005154850653858052,0.002188490725222061
IA-02,Rural-suburban,D,0.41180019569446397,0.33390657974291577,0.20958902873408372,0.04470419582853658,"Loebsack, David",0.45,0.491,0.5579999999999999,0.42700000000000005,0.5710000000000001,0.41600000000000004,0.461941129415834,0.536631966965019,0.00142690361914645,-1,Solid D,-3,0,0.9854,0,0.07501649492438454,0.8740263661032155,0.02773549312767941,0.01223111457332684,0.007733886494602375,0.003256644776791196
IA-03,Low-density suburban,R,0.24217232615848575,0.313844659806374,0.3876190190879905,0.05636399494714978,"Young, David",0.45,0.485,0.514,0.47200000000000003,0.524,0.46299999999999997,0.534473349099509,0.397148764883278,0.06837788601721292,1,Tossup,0,1,0.4954,1,0.06419521551952774,0.2730943103580321,0.4638432534699428,0.14094090042626098,0.0443874633557039,0.013538856870532459
IA-04,Pure rural,R,0.5671806196388292,0.2975184967796784,0.08778172878759564,0.04751915479389679,"King, Steve",0.335,0.609,0.45299999999999996,0.534,0.485,0.502,0.612325426255675,0.386197229506913,0.00147734423741219,11,Likely R,2,1,0.112,0,0.957913600855101,0.027863688065982047,0.006032765676455062,0.003654091505725714,0.0029521010554737774,0.001583752841262521
ID-01,Rural-suburban,R,0.3969393414077803,0.3575989307471234,0.2454617278450962,0,"Labrador, Raul",0.254,0.637,0.322,0.649,0.35100000000000003,0.625,0.68171444491033,0.318136409301069,1.49145788601322e-4,21,Solid R,3,0,0.0059,0,0.050146505059265156,0.8998137923727771,0.0294001267806546,0.01141000520593244,0.006513663578461441,0.0027159070029090667
ID-02,Rural-suburban,R,0.4260461341588136,0.19983701337371218,0.3037796156634705,0.07033723680400376,"Simpson, Mike",0.298,0.545,0.331,0.6409999999999999,0.371,0.605,0.629272584041663,0.294080683674752,0.0766467322835852,17,Solid R,3,0,0.0019,0,0.24785168955840373,0.4583834416928165,0.1292908837124178,0.091461396291202507,0.052957155455127844,0.020055433290031628
IL-01,Urban-suburban,D,0.023867337938484466,0.13447018885662201,0.2992992395125151,0.5423632336923785,"Rush, Bobby",0.754,0.214,0.789,0.20199999999999999,0.8079999999999999,0.185,0.259027676643597,0.740946995839956,2.5327516447056e-5,-27,Solid D,-3,0,1,0,0.004860371361100787,0.0073816575027108216,0.010341919745121537,0.020773384975592144,0.9397714093486044,0.016871257066870413
IL-02,High-density suburban,D,0.07892879729746745,0.2943541176441443,0.3784194618880093,0.248297623170379,"Kelly, Robin",0.78,0.191,0.807,0.185,0.8109999999999999,0.182,0.201923795166405,0.798076204833595,0,-29,Solid D,-3,0,1,0,0.03260109832469571,0.08018755282807626,0.2734829535618264,0.46815466841035547,0.12437397788159804,0.021199748993448266
IL-03,Urban-suburban,D,0.00475378405981538,0.1832737789830284,0.33992209325013406,0.4720503437070221,"Lipinski, Dan",0.552,0.39899999999999997,0.5589999999999999,0.426,0.583,0.40399999999999997,0,0.999596292993687,4.03707006312913e-4,-6,Solid D,-3,0,0.9999,0,0.008093534906641218,0.01352078761507917,0.022232358065318224,0.05249848376825682,0.8857171494878181,0.017937686156886408
IL-04,Pure urban,D,0,0.015726707196775217,0.07213234046446257,0.9121409523387622,"Gutierrez, Luis",0.821,0.132,0.809,0.171,0.805,0.182,0,1,0,-33,Solid D,-3,0,1,0,1.8746958535569293e-4,2.2023026918313436e-4,2.406107750314533e-4,3.2469831583985405e-4,9.2438835166733e-4,0.9981026027029226
IL-05,Pure urban,D,0,0.039229703865506164,0.17070000529756035,0.7900702908369335,"Quigley, Mike",0.705,0.239,0.66,0.318,0.6990000000000001,0.28800000000000003,0.27483393046117,0.678437097576214,0.04672897196261679,-20,Solid D,-3,0,1,0,0.015722637739690744,0.01965457295693281,0.022720636692148535,0.033932144631331436,0.1363064042220741,0.7716636037578224
IL-06,Low-density suburban,R,0.007291454321167509,0.4258214986530301,0.49758056160420433,0.06930648542159812,"Roskam, Peter",0.502,0.43200000000000005,0.451,0.5329999999999999,0.513,0.473,0.592240150392167,0.407759849607833,0,2,Tossup,0,1,0.316,1,0.033664950484817185,0.08208545751802573,0.5760109604908591,0.23600966381001245,0.05555678142354304,0.016672186272742466
IL-07,Pure urban,D,0,0.013922338626604573,0.13655968045305655,0.8495179809203389,"Davis, Danny",0.8740000000000001,0.092,0.872,0.11800000000000001,0.894,0.099,0.157604566572314,0.842395433427686,0,-38,Solid D,-3,0,1,0,0.0048145857744878225,0.00582299237027488,0.006543494021623445,0.009385606730213256,0.03138789783620887,0.9420454232671918
IL-08,High-density suburban,D,0.004088121233638517,0.16435668722603347,0.6114154232865764,0.22013976825375153,"Krishnamoorthi, Raja",0.581,0.364,0.574,0.409,0.615,0.371,0.416850718708136,0.583149281291864,0,-8,Solid D,-3,0,0.9997,0,0.016792005197959044,0.030491378381341867,0.06909862791343666,0.7990435344334975,0.07022224408653929,0.014352209987225731
IL-09,Urban-suburban,D,0,0.016691115690529102,0.387571527018859,0.5957373572906118,"Schakowsky, Jan",0.701,0.249,0.65,0.33299999999999996,0.6859999999999999,0.303,0.335068573595801,0.664650036091366,2.813903128326212e-4,-18,Solid D,-3,0,1,0,0.018920389822122838,0.02648497838256901,0.035705196313051094,0.08165114982272774,0.7523776743741061,0.08486061128542327
IL-10,Low-density suburban,D,0.013655364339758308,0.37564122205693506,0.47251635065492964,0.13818706294837693,"Schneider, Brad",0.62,0.326,0.575,0.41100000000000003,0.63,0.359,0.473905229443769,0.526003860193849,9.09103623826907e-5,-10,Solid D,-3,0,0.9996,0,0.02742765295197658,0.0673709103782945,0.4785055075405671,0.35022523058811844,0.06102556037379753,0.01544513816724594
IL-11,High-density suburban,D,0.010981799693791856,0.24265664116298302,0.6143685695543536,0.1319929895888714,"Foster, Bill",0.589,0.354,0.578,0.406,0.613,0.375,0.395521331915681,0.604478668084319,0,-9,Solid D,-3,0,0.9997,0,0.02464872949788991,0.048720159073602685,0.13864556676789755,0.7065823269356264,0.06524114259103138,0.016162075133952087
IL-12,Rural-suburban,R,0.36522305605368166,0.40703099610967075,0.21653426391039646,0.011211683926251138,"Bost, Mike",0.402,0.55,0.49700000000000005,0.48100000000000004,0.547,0.436,0.543050843125603,0.396949540258529,0.0599996166158683,5,Tossup,0,1,0.4198,1,0.02448430359476929,0.9424398533227192,0.020724415632979106,0.006720356167773306,0.003959787251691298,0.001671284030067655
IL-13,Rural-suburban,R,0.2954437281132217,0.341184718310264,0.26508465136268317,0.09828690221383117,"Davis, Rodney",0.442,0.49700000000000005,0.486,0.489,0.546,0.436,0.596649427151918,0.403350572848082,0,3,Lean R,1,0,0.3196,1,0.06578528473717625,0.6837890013655865,0.16374740963089807,0.05092764106610948,0.026659949096708158,0.00909071410352146
IL-14,Low-density suburban,R,0.1464930891330304,0.6397128949451967,0.21379401592177302,0,"Hultgren, Randy",0.44799999999999995,0.48700000000000004,0.442,0.542,0.507,0.48,0.593048740450226,0.406951259549774,0,5,Lean R,1,0,0.3682,1,0.10303736127196356,0.2781347641326447,0.4309361715385095,0.1005343623622608,0.060135035482343696,0.02722230521227778
IL-15,Pure rural,R,0.5858702028577805,0.36602563909689084,0.04810415804532874,0,"Shimkus, John",0.245,0.7070000000000001,0.341,0.639,0.428,0.5539999999999999,1,0,0,21,Solid R,3,0,2e-4,0,0.8521875028392951,0.09517770195044321,0.023044549564161937,0.013114324600112356,0.010520185199170827,0.00595573584681658
